# Lon        | Lat          | Moho Depth   | Count   | Station    | Min Err      | Mean Err     | Variance     | Score 
-1.515317e+02  +6.198000e+01  +3.215537e+01  0075      AK-SKN-  +5.661530e-02  +4.662556e+00  +1.732186e+00  +2.100000e+00
-1.515073e+02  +6.692140e+01  +3.866412e+01  0036     TA-G22K-  +7.531748e-03  +1.252981e+00  +2.729927e+00  +2.100000e+00
-1.513773e+02  +6.589370e+01  +3.469466e+01  0050     TA-H22K-  +3.385082e-03  +4.778659e-02  +1.111803e+00  +2.100000e+00
-1.509873e+02  +6.409970e+01  +3.005257e+01  0421     AK-BPAW-  +1.193539e-01  +2.777482e+00  +3.535032e+00  +1.100000e+00
-1.509233e+02  +6.355270e+01  +3.157126e+01  0333      AK-KTH-  +3.648216e+00  +4.441772e+00  +4.908304e-01  +1.100000e+00
-1.509063e+02  +5.975110e+01  +5.330023e+01  0176     AK-BRLK-  +1.383525e+01  -1.719797e+01  +4.855279e+00  +1.000000e-01
-1.508543e+02  +6.346211e+01  +3.495911e+01  0060    XE-WON-01  +1.887500e-01  +1.133408e+00  +7.833013e-01  +2.100000e+00
-1.508039e+02  +6.252771e+01  +3.203855e+01  0049    XE-PVW-01  +2.130857e+00  +5.651460e+00  +1.010956e+00  +1.100000e+00
-1.507467e+02  +6.146360e+01  +3.040304e+01  0143      AK-SSN-  +1.471696e+00  +9.193389e+00  +1.667476e+00  +1.100000e+00
-1.507442e+02  +6.503040e+01  +3.332360e+01  0192      AK-MLY-  +3.497556e-03  -1.047626e+00  +2.007805e+00  +2.100000e+00
-1.507414e+02  +5.974170e+01  +3.437500e+01  0030     AK-BRSE-  +3.850200e-01  +6.299128e+00  +2.728847e+00  +2.100000e+00
-1.506807e+02  +6.896560e+01  +4.935115e+01  0032     TA-D23K-  +2.981856e-01  -6.741009e+00  +4.416486e+00  +1.100000e+00
-1.506710e+02  +6.671920e+01  +3.484229e+01  0109    XR-GBN-01  +7.456340e-01  +2.672899e+00  +6.419657e-01  +2.100000e+00
-1.504617e+02  +6.048320e+01  +5.633762e+01  0031     YV-LSKI-  +5.620074e-02  -1.321758e+01  +6.110081e+00  +1.100000e+00
-1.502893e+02  +6.345020e+01  +4.033294e+01  0268      AK-TRF-  +2.153764e+00  -3.951218e+00  +6.091021e-01  +1.100000e+00
-1.502635e+02  +6.620660e+01  +3.472547e+01  0072    XR-CBM-01  +2.515774e-03  +1.357374e-02  +1.061417e+00  +2.100000e+00
-1.502625e+02  +6.240580e+01  +3.519276e+01  0028      AK-CUT-  +1.181815e-01  +2.299981e+00  +1.197693e+00  +2.100000e+00
-1.502318e+02  +6.268925e+01  +4.196846e+01  0129    XE-BYR-01  +2.988245e+00  -4.841723e+00  +1.172179e+00  +1.100000e+00
-1.502231e+02  +6.051170e+01  +5.201519e+01  0106      AK-SLK-  +7.088774e-02  -8.270347e+00  +6.158460e+00  +1.100000e+00
-1.502039e+02  +6.256044e+01  +3.530958e+01  0021   XE-WOLF-01  +1.441590e-01  +2.366903e+00  +8.309225e-01  +2.100000e+00
-1.502038e+02  +6.722690e+01  +3.659463e+01  0461     AK-COLD-  +5.048560e-01  +3.353991e+00  +1.134850e+00  +2.100000e+00
-1.501999e+02  +6.346859e+01  +3.484229e+01  0024    XE-SBL-01  +7.340464e-01  +2.178109e+00  +9.802442e-01  +2.100000e+00
-1.501900e+02  +6.046010e+01  +4.862734e+01  0043     YV-USKI-  +3.107620e-02  -4.721154e+00  +6.100032e+00  +1.100000e+00
-1.501100e+02  +6.738120e+01  +3.998248e+01  0102    XR-WSM-01  +2.929791e-02  +4.733690e-01  +1.225584e+00  +2.100000e+00
-1.500609e+02  +6.214996e+01  +3.145444e+01  0121   XE-TLKY-01  +1.309240e+00  +7.199824e+00  +1.569533e+00  +2.100000e+00
-1.500316e+02  +6.048810e+01  +4.745911e+01  0079     YV-RUSS-  +2.288921e-02  -3.269665e+00  +4.276852e+00  +1.100000e+00
-1.500294e+02  +6.169540e+01  +2.724883e+01  0079     YV-NANC-  +8.051492e+00  +1.394957e+01  +1.816575e+00  +1.000000e-01
-1.500239e+02  +6.671080e+01  +3.515267e+01  0049     TA-G23K-  +7.213737e-02  +1.653941e+00  +7.424635e-01  +2.100000e+00
-1.499307e+02  +6.476530e+01  +2.865070e+01  0030     XV-F8KN-  +1.248363e+00  +3.304276e+00  +3.391706e+00  +1.100000e+00
-1.498648e+02  +6.286026e+01  +3.904790e+01  0052    XE-MHR-01  +2.202501e-02  -1.258002e+00  +1.056319e+00  +2.100000e+00
-1.498256e+02  +6.485370e+01  +3.227220e+01  0018     XV-F7TV-  +1.372906e-03  -5.365660e-01  +1.994846e+00  +2.100000e+00
-1.498236e+02  +6.785160e+01  +4.220210e+01  0066    XR-BMQ-01  +2.593775e-03  +2.182768e-01  +1.653748e+00  +2.100000e+00
-1.498174e+02  +6.159190e+01  +5.575350e+01  0017     YV-BIGB-  +1.336484e+01  -1.668056e+01  +3.990555e+00  +1.000000e-01
-1.497814e+02  +6.355808e+01  +4.278621e+01  0034    XE-EFS-01  +3.377370e+00  -6.279791e+00  +7.717709e-01  +1.100000e+00
-1.497697e+02  +5.983510e+01  +3.787967e+01  0022     YV-HOLG-  +3.294241e-02  +3.400469e+00  +2.790911e+00  +2.100000e+00
-1.497390e+02  +6.108890e+01  +2.771612e+01  0396     AK-RC01-  +9.163765e+00  +1.748032e+01  +4.509039e+00  +1.000000e-01
-1.497241e+02  +6.048140e+01  +4.568702e+01  0012     TA-O22K-  +1.972976e-03  -1.981236e+00  +3.362520e+00  +1.100000e+00
-1.497117e+02  +6.290935e+01  +4.220210e+01  0011    XE-PYY-01  +2.289222e+00  -4.464122e+00  +8.808190e-01  +1.100000e+00
-1.496163e+02  +6.805840e+01  +4.156488e+01  0046     TA-E23K-  +4.878065e-02  +1.353116e+00  +1.764772e+00  +2.100000e+00
-1.496064e+02  +6.299908e+01  +3.706192e+01  0126   XE-HURN-01  +2.443192e-03  +1.161203e+00  +1.132387e+00  +2.100000e+00
-1.495977e+02  +6.087380e+01  +5.820678e+01  0068     YV-HOPE-  +2.889502e+00  -1.508978e+01  +5.043742e+00  +1.000000e-01
-1.495941e+02  +6.055080e+01  +5.108061e+01  0088     YV-DEVL-  +3.575805e-01  -8.036687e+00  +4.942201e+00  +1.100000e+00
